Sedgwick Peak,9167,42.515805,-111.923488
Rainbow Peak,9891,48.878582,-114.097436
Calispell Peak,6855,48.43686,-117.502712
West Butte,6983,48.931624,-111.532387
Mount Mansfield,4393,44.543822,-72.814366
Mount Rose,10776,39.343715,-119.917874
Mount Tipton,7148,35.538883,-114.192895
Brandy Peak,5298,42.597553,-123.880321
Pearl Peak,10848,40.235158,-115.540729
Salinas Peak,8965,33.298451,-106.531355
George H Hansen Peak,8523,39.725284,-113.440178
Diamond Peak,10614,39.584901,-115.818641
Dry Mountain,8674,36.909034,-117.597779
Kaibab Plateau High Point,9200,36.395799,-112.150939
Roberts Creek Mountain,10134,39.870004,-116.31059
Nopah Range High Point,6394,36.006363,-116.080622
Trapper Peak,10157,45.889843,-114.297809
Mount Pennell,11408,37.956468,-110.790953
Mount Turnbull,8282,33.074082,-110.260961
Adam Peak,8678,41.160653,-117.305423
Big Baldy Mountain,9177,46.968477,-110.606421
Orevada View Benchmark,8506,41.979321,-118.223168
Desatoya Peak,9973,39.365207,-117.759022
Wyoming Peak,11378,42.604314,-110.623897
Mount Bonaparte,7257,48.785309,-119.122169
Whitewater Baldy,10895,33.323947,-108.642272
Mount Moses,8649,40.147141,-117.415402
Mount McGuire,10082,45.174222,-114.602065
South Twin,7000,48.704873,-121.987539
Mount Gunnison,12719,38.812095,-107.382599
Tohakum Peak,8182,40.179387,-119.455121
Mount Spokane,5883,47.92365,-117.112172
Elkhorn Peak,9095,42.333961,-112.328474
Roan High Knob,6285,36.104561,-82.122448
San Benito Mountain,5241,36.36967,-120.644609
Piute Peak,8440,35.449339,-118.388318
Mount Daniel,7960,47.564924,-121.180877
Mount Siegel,9451,38.889564,-119.502187
Signal Peak,4877,33.359251,-114.082847
Harquahala Mountain,5681,33.811803,-113.346857
Mount Zirkel,12180,40.831338,-106.663082
Granite Peak,8980,40.791143,-119.433292
Box Elder Peak,9372,41.635624,-112.014561
Black Peak,8970,48.523611,-120.816193
South Lost River High Point,11081,43.929063,-113.335288
Gearhart Mountain,8370,42.496071,-120.877432
Sturgill Peak,7589,44.619971,-116.943418
Provo Peak,11068,40.244235,-111.556989
Loma Prieta,3786,37.111068,-121.844139
Buffalo Hump,8938,45.620444,-115.699228
Notch Peak,9654,39.143189,-113.409321
Wheeler Peak,13161,36.556784,-105.416907
Tule Peak,8724,39.975924,-119.744207
Mount Jackson,10052,48.600584,-113.722616
Mount Dutton,11041,38.020612,-112.217333
Huckleberry Knob,5560,35.3221,-83.9939
Lyman Hill,4280,48.594693,-122.159063
Bonneville Peak,9271,42.763284,-112.141148
Electric Peak,10969,45.005223,-110.837564
Saint Joseph Peak,9587,46.601477,-114.255013
South Tent Mountain,11285,39.392003,-111.357684
Mount Jefferson,10203,44.562017,-111.50491
Marys Peak,4097,44.504411,-123.552571
South Selkirk Crest,7709,48.845455,-116.554425
Mount Thielsen,9182,43.152769,-122.066502
Mount Hillers,10737,37.887395,-110.69703
New York Mountains High Point,7533,35.258736,-115.311243
North Peak,8550,40.675,-117.132497
Aeneas Mountain,5167,48.743187,-119.62244
Seaman Range High Point,8606,37.980726,-115.101535
Eugene Mountains High Point,7582,40.835866,-118.185229
Dirtyface Peak,6240,47.871343,-120.825318
Mount Lafayette,5240,44.16073,-71.644564
Killington Peak,4235,43.604717,-72.820177
Granite Mountain,4331,33.970148,-115.072855
Laramie Peak,10272,42.268125,-105.442774
Funeral Peak,6384,36.103195,-116.62404
Jumbo Peak,5761,36.206531,-114.180887
Browns Peak,7657,33.684384,-111.325634
Elk Mountain,11156,41.633278,-106.526093
Mount Aix,7766,46.79499,-121.255989
Avawatz Peak,6155,35.512756,-116.331714
Highwood Baldy,7670,47.44194,-110.63102
Garfield Mountain,10961,44.52037,-112.621139
Mount Blum,7680,48.754162,-121.482549
Breckenridge Mountain,7560,35.451182,-118.587075
Slide Mountain,4180,41.999112,-74.386045
Ferris Mountain,10037,42.256685,-107.239373
Highland Peak,9395,37.893931,-114.578906
Mount Lago,8745,48.82932,-120.537451
Capitan Mountains High Point,10201,33.601323,-105.343567
Mount Grafton,10990,38.692274,-114.742491
Smoky Dome,10095,43.493236,-114.936256
Animas Mountains High Point,8565,31.569493,-108.788694
Dos Cabezas Peaks,8359,32.22225,-109.612111
Ord Mountain,6309,34.674868,-116.81508
Desolation Peak,6102,48.911372,-121.01675
Willard Peak,9763,41.382783,-111.974424
Manzano Peak,10098,34.591201,-106.446979
Medicine Bow Peak,12013,41.360351,-106.317597
Rocky Mountain,9392,47.81235,-112.800466
Queen Mountain,6112,48.878226,-116.215022
Deep Creek Peak,8748,42.471331,-112.656106
Castle Peak,8306,48.98209,-120.862211
Paulina Peak,7984,43.689342,-121.25484
Sierra Estrella High Point,4512,33.273519,-112.280722
Florida Peak,7460,32.126517,-107.622974
Mount Wilson,5445,35.996588,-114.611894
Pilot Peak,9182,38.34301,-117.974093
Mount Brown,6958,48.874372,-111.139596
Gallatin Peak,11015,45.368195,-111.365843
Hines Peak,6716,34.510785,-119.075593
Ryan Peak,11714,43.902351,-114.409576
Cuddy Mountain,7867,44.771223,-116.78435
Big Baldy,9705,44.78241,-115.218976
Virgin Peak,8071,36.602737,-114.112267
Ellemeham Mountain,4659,48.931089,-119.618805
Black Butte,10542,44.904198,-111.855079
Homer Youngs Peak,10621,45.311125,-113.677315
Glass Mountain,11160,37.766342,-118.703809
Yamsay Mountain,8196,42.930618,-121.360668
Cain Mountain,8409,40.024147,-117.543327
Sugarloaf Mountain,4240,45.031808,-70.313247
Goosenest,8280,41.720203,-122.222624
Cobb Mountain,4720,38.807449,-122.740613
Naomi Peak,9979,41.911382,-111.675411
Mount Tenabo,9153,40.163107,-116.583012
Freel Peak,10881,38.857499,-119.900095
Roof Butte,9800,36.4602,-109.093077
